Open,High,Low,Close,Adj Close,Volume
20.25,20.63,20.13,20.63,5.87,647100.0
26.63,27.25,26.50,27.23,8.02,787700.0
34.25,34.31,33.94,34.25,10.37,479600.0
31.56,31.56,31.00,31.06,9.70,295700.0
18.25,18.50,18.00,18.29,6.75,3500.0
19.0,19.35,18.75,18.77,7.69,7800.0
39.79,40.35,39.79,40.25,18.79,3000.0
52.85,54.55,52.60,53.80,28.07,6700.0
43.79,43.81,43.50,43.75,29.20,3500.0
23.02,25.00,22.87,23.09,16.79,15100.0
43.01,43.59,43.00,43.45,34.96,1000.0
44.61,45.26,44.26,44.77,38.54,955400.0
14.27,14.38,13.72,13.78,13.16,361200.0
31.33,31.33,30.83,31.02,29.89,784900.0
27.43,28.24,27.36,28.19,27.28,1032400.0
17.48,17.69,17.00,17.51,17.04,914900.0
14.22,14.48,14.05,14.45,14.34,1158300.0
4.06,4.16,3.86,4.07,4.07,1298800.0
4.12,4.26,4.07,4.24,4.24,605100.0
4.87,5.05,4.83,5.05,5.05,4072100.0
19.87,19.89,19.52,19.63,19.63,696700.0
19.5,19.50,19.00,19.00,5.19,1087500.0
20.88,21.38,20.38,21.25,6.05,1471200.0
26.75,26.88,26.63,26.75,7.88,196600.0
34.56,35.00,34.50,34.50,11.02,14000.0
28.4,28.41,28.40,28.40,9.32,1000.0
17.8,17.89,17.70,17.72,6.54,2000.0
18.28,18.49,18.18,18.49,7.58,1600.0
56.0,56.10,54.50,54.75,30.79,6900.0
44.15,44.24,44.04,44.10,27.03,4600.0
43.8,43.80,43.21,43.50,29.04,4700.0
23.63,24.15,22.14,22.22,20.89,1689800.0
14.46,14.48,13.53,13.69,13.08,560400.0
30.85,31.07,30.07,30.10,29.01,640800.0
30.59,31.64,30.49,31.57,30.55,2000000.0
25.43,25.74,25.41,25.49,25.01,1883600.0
21.61,22.00,20.90,21.91,21.61,726800.0
14.82,15.14,14.82,14.99,14.88,1474100.0
11.38,12.54,11.37,12.30,12.30,4167000.0
21.41,21.93,21.20,21.46,21.46,1802900.0
24.38,25.13,24.25,25.00,6.60,1118400.0
19.0,19.13,18.75,18.88,5.16,1923100.0
21.38,22.00,21.38,21.88,6.23,1543200.0
26.5,26.63,26.13,26.25,7.73,257100.0
34.75,34.88,34.50,34.56,11.04,13800.0
28.45,28.45,28.20,28.20,9.26,2600.0
17.95,17.95,17.60,17.60,6.49,4900.0
18.4,18.50,18.39,18.43,7.56,5000.0
54.0,54.00,53.50,53.62,27.98,1400.0
54.3,54.30,54.20,54.20,30.48,1000.0
44.04,44.13,43.78,43.96,26.94,6100.0
42.85,42.85,42.75,42.75,28.54,2000.0
46.25,46.30,45.63,46.21,39.78,910600.0
21.79,22.93,20.71,21.11,19.84,3136300.0
13.71,13.98,13.56,13.59,12.98,334100.0
30.0,30.03,28.56,29.76,28.68,1405700.0
17.38,17.44,17.06,17.27,16.81,791000.0
25.5,25.75,25.35,25.59,25.10,1391600.0
21.98,22.22,21.78,22.18,21.87,781600.0
14.96,14.99,14.55,14.79,14.68,1248800.0
5.04,5.13,5.01,5.03,5.03,1230300.0
12.47,12.66,12.32,12.41,12.41,2158300.0
21.67,21.69,21.14,21.61,21.61,1559000.0
25.63,25.75,25.00,25.38,6.70,920000.0
18.88,19.63,18.75,19.50,5.33,1527100.0
22.13,22.50,21.75,22.13,6.30,1760000.0
31.38,31.38,30.81,31.00,9.68,670600.0
34.44,34.75,34.38,34.50,11.02,9700.0
28.1,28.45,28.10,28.45,9.34,1000.0
17.62,17.85,17.62,17.73,6.54,3900.0
39.5,39.82,39.45,39.82,18.59,5500.0
53.62,53.62,51.50,51.50,26.87,6500.0
54.5,54.50,53.50,53.50,30.09,3700.0
44.07,44.50,43.91,44.50,27.28,3800.0
43.8,44.30,43.71,43.78,35.23,2700.0
45.84,46.10,44.72,45.64,39.29,752600.0
21.0,24.05,21.00,22.93,21.55,3701000.0
13.5,13.88,13.25,13.82,13.20,328800.0
17.4,18.10,17.34,18.06,17.58,1156900.0
25.47,26.48,25.38,25.90,25.41,3107700.0
22.18,22.41,22.11,22.33,22.02,969900.0
